Release Date,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
9-May-14,Yeh Hai Bakrapur,HS,Comedy,5,2,1257416,758,923
28-Mar-14,Youngistaan,N, Drama ,26,6.75,603710,1082,177
14-Jun-13,Fukrey,N,Comedy,5,36.2,227912,222,39
28-Nov-14,Zid,N,Thriller,20,14.05,6698987,6750,2234
19-Dec-14,PK,HS, Drama ,85,735,13270623,43767,5693
21-Jun-13,Raanjhanaa,N,Romance,35,100,5470632,12413,1018
5-Dec-14,Action Jackson,N,Action,90,57.45,13279636,19240,3859
2-Oct-14,Bang Bang,FS,Action,140,340,15889811,61805,6283
21-Jun-13,Shortcut Romeo,N,Thriller,15,2.58,1131573,913,255
12-Sep-14,Creature,N,Thriller,24,20,2876498,5844,1537
28-Jun-13,Ghanchakkar,N,Comedy,30,38,2248046,5108,614
2-Oct-13,Besharam,LW,Comedy,85,35,5319606,10253,8165
5-Jul-13,Lootera,N,Romance,27,28,2581449,4416,819
18-Jul-14,Pizza 3D,N,Thriller,10,4.35,838943,1116,153
16-May-14,The Xpose,HS,Thriller,16,29,3707889,3512,1292
5-Jul-13,Policegiri,N,Action,30,16.8,1754266,1674,420
12-Jul-13,Bhaag Milkha Bhaag,N, Drama ,30,164,2635390,4622,456
25-Apr-14,Kaanchi,N, Drama ,31,4,2360968,2807,595
25-Apr-14,Samrat and Co.,N,Thriller,18,2,371133,532,180
12-Jul-13,B.A. Pass,N, Drama ,2,5.9,2240961,842,348
19-Jul-13,Ramaiya Vastavaiya,N,Romance,35,30,3788488,4111,687
14-Mar-14,Bewakoofiyan,FS,Romance,22,14,2850376,4764,1068
19-Jul-13,D Day,N,Action,30,24,1939868,1804,224
21-Feb-14,Darr@ The Mall,N,Thriller,15,4.5,1679872,255,51
26-Jul-13,Issaq,N,Romance,10,5,68511,76,16
7-Feb-14,Hasee To Phansee,N,Romance,27,35.5,2543707,6390,975
26-Jul-13,Bajatey Raho,N,Comedy,5,10,462722,513,77
3-Jan-14,Mr Joe B Carvalho,N,Comedy,15,4,268289,139,40
26-Jul-13,Nasha,N,Thriller,4,8,613448,288,188
11-Apr-14,Bhootnath Returns,LW,Thriller,29,53,3049275,10759,657
9-Aug-13,Chennai Express,FS,Comedy,75,395,1882346,7954,1593
15-Aug-13,Once Upon Ay Time In Mumbai Dobaara!,FS,Thriller,100,80,3077135,9200,2821
23-Aug-13,Madras Cafe,N,Thriller,35,42.7,1709945,2974,594
30-Aug-13,Satyagraha,N, Drama ,50,60,1422568,2736,394
1-Nov-13,Krrish 3,FS,Action,115,300,23171067,72070,11888
7-Mar-14,Total Siyappa,N, Drama ,10,12,1719399,3656,548
8-Nov-13,Satya 2,FS,Thriller,15,1.1,110315,89,26
15-Nov-13,Rajjo,FS,Romance,12,2,1718619,1606,1083
22-Nov-13,Gori Tere Pyaar Mein,N,Romance,30,12.65,3799253,8559,1871
29-Nov-13,Bullett Raja,N,Comedy,50,40,4015674,8084,2129
11-Oct-13,War Chhod Na Yaar,FS,Comedy,14,7.5,40450,33,7
11-Oct-13,Baat Ban Gayi,FS,Comedy,4,1.5,23186,9,4
16-Oct-13,Boss,FS, Drama ,50,45,6464704,22977,3396
18-Oct-13,Shahid,FS, Drama ,6,40,1148516,3155,396
25-Oct-13,Mickey Virus,N,Comedy,11,6,335807,574,129
6-Sep-13,Zanjeer,LW,Action,75,18.2,2539431,5634,922
6-Sep-13,Shuddh Desi Romance,LW,Romance,25,55,5142,1,1
13-Sep-13,Grand Masti,LW,Comedy,35,298,1795640,3015,721
16-May-14,Children Of War,HS, Drama ,12,22,577569,1640,156
20-Sep-13,Phata Poster Nikla Hero,N, Drama ,40,34,5176897,10672,1392
20-Sep-13,The Lunchbox,N, Drama ,10,85,1064854,4054,285
9-Jan-15,Tevar,N,Action,40,56,6132407,11241,1729
16-Jan-15,Alone,N,Thriller,18,25,8788913,18907,2940
23-Jan-15,Baby,N,Action,60,125,7968156,29246,2426
30-Jan-15,Hawaizaada,N, Drama ,25,30.25,2368404,8619,539
30-Jan-15,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
6-Feb-15,Shamitabh,N, Drama ,40,38,2105508,5599,677
13-Feb-15,Roy,FS,Romance,40,58,7687797,18974,3229
20-Feb-15,Badlapur,FS,Action,23,77,4550051,10602,893
27-Feb-15,Dum Laga Ke Haisha,N,Comedy,15,30,3250917,8185,615
13-Mar-15,NH10,N,Thriller,13,32.1,5592977,15464,1513
20-Mar-15,Dilliwali Zaalim Girlfriend,N,Comedy,32,12,2316047,4289,807
20-Mar-15,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
23-May-14,Kochadaiiyaan,HS,Action,150,120,4740727,13466,2649
